care_site_id,care_site_name,ward,room,bed,building,slug,bednumber,bay,sideroom,mortimer_market,waiting_room,RNTNE,ENT_ED,macmillan_cc,CHALF,POOL,tottenham_court_road,RLHIM,UCH,RESUS,MAJ,EDH,MINORS,patient_lounge,slug_room
286370639,T01^T01 BY04^BY04-52B,T01,T01 BY04,BY04-52B,UCH Tower,AMU,52B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286370641,T07S^T07S BY10^BY10-44,T07S,T07S BY10,BY10-44,UCH Tower,T7 South,44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286370643,T07S^T07S BY13^BY13-56,T07S,T07S BY13,BY13-56,UCH Tower,T7 South,56,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286370645,UCLHHOME^UCLHHOME POOL01^HOME,UCLHHOME,UCLHHOME POOL01,HOME,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371144,P02G^UCH P02 ENDO POOL^ENDO,P02G,UCH P02 ENDO POOL,ENDO,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371168,ED^UCHED DIAGNOSTICS^NONE,ED,UCHED DIAGNOSTICS,NONE,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OTHER
286371170,ED^UCHED ADULT TRIAGE^NONE,ED,UCHED ADULT TRIAGE,NONE,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRIAGE
286371172,ED^UCHED MAJORS06^06-MAJORS,ED,UCHED MAJORS06,06-MAJORS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,MAJORS
286371174,ED^UCHED RESUS05^05-RESUS,ED,UCHED RESUS05,05-RESUS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,RESUS
286371176,T06G^T06G BY52^BY52-52,T06G,T06G BY52,BY52-52,UCH Tower,T6 Gynaecology,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371189,THP3^UCHP03THR POOL01^THR,THP3,UCHP03THR POOL01,THR,NA,Theatres (Podium 3),NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371191,T06C^T06C BY08^BY08-39,T06C,T06C BY08,BY08-39,NA,NA,39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371501,T06H^T06H BY01^BY01-02,T06H,T06H BY01,BY01-02,UCH Tower,T6 North  Head and Neck,02,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371513,T14N^T14N SR02^SR02-02,T14N,T14N SR02,SR02-02,UCH Tower,T14 North - Oncology,02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371723,T06C^T06C BY06^BY06-27,T06C,T06C BY06,BY06-27,NA,NA,27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371734,NHNNTHR^NHNNTHR POOL01^THR,NHNNTHR,NHNNTHR POOL01,THR,NHNN,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371736,BSNQ^C3BS BY01^BY01-04,BSNQ,C3BS BY01,BY01-04,NA,NA,04,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371826,ED^UCHED RESUS04^04-RESUS,ED,UCHED RESUS04,04-RESUS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,RESUS
286371828,ED^UCHED MAJORS17^17-MAJORS,ED,UCHED MAJORS17,17-MAJORS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,MAJORS
286371830,HASU^T07 BY05^BY05-25,HASU,T07 BY05,BY05-25,UCH Tower,Hyperacute Stroke Unit,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371858,ED^UCHED UTCCH01^13-UTC CHAIR,ED,UCHED UTCCH01,13-UTC CHAIR,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,UTC
286371874,T01^T01 SR57^SR57-57B,T01,T01 SR57,SR57-57B,UCH Tower,AMU,57B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371876,T08N^T08N SR19^SR19-19,T08N,T08N SR19,SR19-19,UCH Tower,T8 North Respiratory Medicine,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371879,T08S^T08S SR43^SR43-43,T08S,T08S SR43,SR43-43,UCH Tower,T8 South ID,43,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286371885,ED^UCHED MAJORS12^12-MAJORS,ED,UCHED MAJORS12,12-MAJORS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,MAJORS
286372190,T01^T01 BY03^BY03-40R,T01,T01 BY03,BY03-40R,UCH Tower,AMU,40R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372194,ED^UCHED RAT02^RAT-02,ED,UCHED RAT02,RAT-02,UCH Tower,Emergency Department,02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OTHER
286372196,ED^UCHED MAJORS11^11-MAJORS,ED,UCHED MAJORS11,11-MAJORS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,MAJORS
286372199,T01^T01 BY01^BY01-09Y,T01,T01 BY01,BY01-09Y,UCH Tower,AMU,09Y,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372214,ED^UCHED PAEDS TRIAGE^NONE,ED,UCHED PAEDS TRIAGE,NONE,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRIAGE
286372230,ED^UCHED PAEDS07^07-PAEDS,ED,UCHED PAEDS07,07-PAEDS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAEDS
286372233,T12S^T12S CB39^CB39-39,T12S,T12S CB39,CB39-39,UCH Tower,T12 South - Adolescent Inpatient Unit,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372254,MFAW^MFAU WAIT^WAITING,MFAW,MFAU WAIT,WAITING,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372264,MFAW^MFAU SR07^SR07-07,MFAW,MFAU SR07,SR07-07,NA,NA,07,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372273,ACU^E03ACU BY13^BY13-A52,ACU,E03ACU BY13,BY13-A52,NA,Assisted Conception Unit,A52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372275,COB^E02COB BY01^BY01-02,COB,E02COB BY01,BY01-02,NA,NA,02,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372277,F3NU^E03MCU BY10^BY10-A33,F3NU,E03MCU BY10,BY10-A33,NA,NA,A33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372279,F3NU^E03MCU BY11^BY11-A38,F3NU,E03MCU BY11,BY11-A38,NA,NA,A38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372387,T10O^T10O BY03^BY03-15,T10O,T10O BY03,BY03-15,UCH Tower,T10 North - Oncology,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372394,T10O^T10O BY03^BY03-17,T10O,T10O BY03,BY03-17,UCH Tower,T10 North - Oncology,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372396,T10O^T10O SR10^SR10-10,T10O,T10O SR10,SR10-10,UCH Tower,T10 North - Oncology,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286372398,T10O^T10O BY01^BY01-01,T10O,T10O BY01,BY01-01,UCH Tower,T10 North - Oncology,01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373106,CRF^TCR CRF POOL02^WAIT,CRF,TCR CRF POOL02,WAIT,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373112,CRF^TCR CRF POOL01^CLINIC ROOM,CRF,TCR CRF POOL01,CLINIC ROOM,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373186,CCCS^MCCCDU CH04^CH04,CCCS,MCCCDU CH04,CH04,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373190,CCCS^MCCCDU WAITING^WAIT,CCCS,MCCCDU WAITING,WAIT,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373199,ONCSUP^MCCSUP SR26^SR26,ONCSUP,MCCSUP SR26,SR26,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373208,CCCS^MCCCDU CH08^CH08,CCCS,MCCCDU CH08,CH08,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373217,CCCS^MCCCDU LG06^LG06,CCCS,MCCCDU LG06,LG06,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373223,CCCS^MCCCDU LG01^LG01,CCCS,MCCCDU LG01,LG01,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373244,CCCS^MCCCDU LG02^LG02,CCCS,MCCCDU LG02,LG02,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373249,CCCS^MCCCDU ARRIVED^ARRIVED,CCCS,MCCCDU ARRIVED,ARRIVED,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373251,CCCS^MCCCDU READY^READY,CCCS,MCCCDU READY,READY,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373253,CCCS^MCCCDU CH03^CH03,CCCS,MCCCDU CH03,CH03,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373264,CCCS^MCCCDU LG04^LG04,CCCS,MCCCDU LG04,LG04,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373271,CCCS^MCCCDU LG03^LG03,CCCS,MCCCDU LG03,LG03,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373283,CCCS^MCCCDU SR2.10^SR2.10,CCCS,MCCCDU SR2.10,SR2.10,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373285,CCCS^MCCCDU DISCHARGE^DISCHARGE,CCCS,MCCCDU DISCHARGE,DISCHARGE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373290,CCCS^MCCCDU LG09^LG09,CCCS,MCCCDU LG09,LG09,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373724,ED^UCHED RAT09^RAT-CHAIR-09,ED,UCHED RAT09,RAT-CHAIR-09,UCH Tower,Emergency Department,09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OTHER
286373728,EAU^UCH T00 EAU BY01^BY01-CH01,EAU,UCH T00 EAU BY01,BY01-CH01,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373877,T1DC^T-1 CB06^CB06-06,T1DC,T-1 CB06,CB06-06,UCH Tower,NA,06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373888,T09S^T09S BY11^BY11-52,T09S,T09S BY11,BY11-52,UCH Tower,T9 South - Surgical and Gastroenterology,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373890,TPL^UCHPATLNGE POOL01^CHAIR,TPL,UCHPATLNGE POOL01,CHAIR,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,
286373896,T06C^T06C SR41^SR41-41,T06C,T06C SR41,SR41-41,NA,NA,41,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373898,T09S^T09S SR41^SR41-41,T09S,T09S SR41,SR41-41,UCH Tower,T9 South - Surgical and Gastroenterology,41,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286373900,T09S^T09S WAITING^WAIT,T09S,T09S WAITING,WAIT,UCH Tower,T9 South - Surgical and Gastroenterology,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374521,DCNQ^RLHIMDCU WAITING^WAIT,DCNQ,RLHIMDCU WAITING,WAIT,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374580,MFAW^MFAU SR05^SR05-05,MFAW,MFAU SR05,SR05-05,NA,NA,05,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374593,LW^E02LW SR06^SR06-A01,LW,E02LW SR06,SR06-A01,NA,NA,A01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374595,LW^E02LW SR01^SR01-A01,LW,E02LW SR01,SR01-A01,NA,NA,A01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374597,LW^E02LW SR03^SR03-A01,LW,E02LW SR03,SR03-A01,NA,NA,A01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374599,F3NU^E03MCU BY11^BY11-A40,F3NU,E03MCU BY11,BY11-A40,NA,NA,A40,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374778,T06C^T06C BY05^BY05-26,T06C,T06C BY05,BY05-26,NA,NA,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374785,T11S^T11S BY04^BY04-23,T11S,T11S BY04,BY04-23,UCH Tower,T11 South  - Acute Paediatric Inpatients,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374791,ED^UCHED PAEDS05^05-PAEDS,ED,UCHED PAEDS05,05-PAEDS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAEDS
286374795,ED^UCHED PAEDS04^04-PAEDS,ED,UCHED PAEDS04,04-PAEDS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PAEDS
286374973,LW^E02LW SRGR^SRGR-A01,LW,E02LW SRGR,SRGR-A01,NA,NA,A01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374975,F3NU^E03MCU BY07^BY07-A24,F3NU,E03MCU BY07,BY07-A24,NA,NA,A24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286374983,CSW1^CLVST DAY BY01^BY01-04,CSW1,CLVST DAY BY01,BY01-04,NA,NA,04,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286375141,E02THR^EGAE02THR POOL01^THR,E02THR,EGAE02THR POOL01,THR,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286375143,COB^E02COB BY01^BY01-04,COB,E02COB BY01,BY01-04,NA,NA,04,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286375145,F3NU^E03MCU BY11^BY11-A37,F3NU,E03MCU BY11,BY11-A37,NA,NA,A37,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286375183,MFAW^MFAU SR02^SR02-02,MFAW,MFAU SR02,SR02-02,NA,NA,02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286375195,COB^E02COB BY01^BY01-01,COB,E02COB BY01,BY01-01,NA,NA,01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
